montoConseguido,titulo,moneda,meta,contribuidores,porcentaje,descripcion,enlace
235,Cuddle Bear Book Drive for Medical City Children's in Dallas by Amber & Jacki,U.S. Dollar,350,6,67%,"Everyone Needs A Hug Sometimes! Jaclyn Drexel and I are asking our friends, family, and anyone
    else that this reaches to help us give medically fragile kids and
    their families a MUCH NEEDED HUG! Our goal is 21 bears in
      FOUR DAYS!!! We are doing a Cuddle Bear Book Drive to help
    kids receiving treatment at Medical City Children’s of
    Dallas to feel comforted during trying and difficult times.
    This is an important mission to both of us. My younger brother was
    born with cancer and he spent the first couple of months of his life
    in the hospital. My son has had a history of going into breathing
    crises when he was younger, often resulting in hospital stays. It
    was during one of J’s first hospital stays that we met Jacki. She
    was one of his amazing nurses. As a prior pediatrics and oncology
    nurse, she has a HUGE heart for kids struggling with their health.
    We decided that giving cuddly bears and sweet books was one way we
    could give back - with your help of course! Why a Cuddle Bear Books Drive? Usborne Books & More has these amazing book and plush sets
    for babies and kids; the book is all about bringing comfort through
    hugs. When given together as a gift, the plush bears and books help
    to bring those hugs to life! Jacki and I will be accepting monetary
    donations to purchase as many Cuddle Bear sets as possible - our
    goal is 21 sets! Here’s the BEST PART , once we
    raise $250 Usborne Books and More matches our donation at 50%! Each
    book and plush combo costs $25. That means, if you sponsor 2 kids by
    donating $50, an additional set will be donated and 3 kids will get
    these sweet and comforting Cuddle Bears! But wait, THERE’S MORE , on top of the Cuddle
    Bear sets that will be hand delivered to Medical City Children’s
    Hospital to brighten the day of the kids receiving treatment,
    Usborne Books & More will ALSO DONATE 5% of
    each Cuddle Bear set purchase to The Scott Carter
    Foundation to go towards pediatric cancer research. Please consider helping us reach our goal of 21 Cuddle
      Bear Sets : monetary donations for 14 sets equals a total
    of $350 (the remaining 7 will be donated by Usborne Books & More
    when we meet this goal)! You have the power to help us make a difference in a child’s life! $25 - Sponsor 1 Child $50 - Sponsor 2 Children (PLUS 1 thanks to Usborne Books & More) $100 - Sponsor 4 Children (PLUS 2 thanks to Usborne Books
    & More) **You do NOT have to donate the full $25 to sponsor an entire
      set, donations of ANY size will help us meet our goal!**",https://fundrazr.com/c1XBq9
7025,Keith Hancock Needs Your Help,U.S. Dollar,210,111,115%,"My name is Chris Lee and I'm a Brit living in Ho Chi Minh (Saigon),
  Vietnam. As an Expat living here, we get to meet many people from all
  walks of life. People of different Nationalities, Faith and
  background. I met Keith over 6 years ago and bonded over our love of
  Pool, and continually disagreed about our football teams (another story). Keith Hancock had had a varied life, including a long career as a
  popular Folk Singer and many of the people who enjoy that scene,
  remember him as the writer and composer of the Folk Standard, Absent Friends. Keith eventually took residence in Ho Chi Minh around the same time
  that I moved to Saigon in 2013 and has used his life experiences to
  colour the lives of the people here in Saigon with his writing and his
  reflection on life, ever since. On the morning of Tuesday 25th June this year, Keith suffered a
    heart attacked and was admitted to the ICU at the Heart Foundation
    in Saigon. where they advised him that he urgently needed an operation. There is no provision for a National Health Service in Vietnam.
    The cost of the surgery plus hospital care and ongoing medication
    will be $8000. We have to raise this money before they will operate.
    Time is imperative. We are asking his family, his friends from
    music, and the many others he has made on his travels for help. We need support in monetary donations and importantly, in people
    actively sharing this appeal to their friends, fellow musicians,
    Folk followers and any wider circle. Any donation will be gratefully accepted. Keith desperately
    needs this procedure to repair the damage to his heart and to
    provide any chance of living out a full and fruitful life. If there is any surplus money after all costs are met, it will
    be donated to the Children's Heart Foundation at the same hospital.
    This provides free heart surgery for Vietnam's poor children and is
    also a very worthy cause. I do hope that you can help.",https://fundrazr.com/91WdFb
6700,Please Help Michael Maberry a Victim of Assault,U.S. Dollar,15 000,59,45%,"I am Michael Maberry's wife, we have been married for 5 years
    in October and friends for 6 years. Michael has worked since he was
    14. He had a great work ethic and worked not only his full time job
    but numerous side jobs. He was a mechanic and
    painter a nd his main career was for 30+years as a
    Manager and District Manager in the Grocery field. In September 2015 his life was changed forever. As he was
    closing at his new job for the night, two armed men came in and
    robbed the store. He was beaten for over 20 minutes against the safe
    and with the handgun. Michael has had both knees operated on due to
    being slammed to the floor numerous times. He now has black out
    seizures, some are in the brain and many of the seizures are Grand
    Mal. In April of this year I came home to find him in a continual
    seizure episode. He was hospitilized and in ICU. His hospital stay
    ran for a week and I lost income due to having to stay with him. His
    diagnosis is TBI, PTSD and 80% loss of hearing on his left side (we
    are awaiting surgery on that issue); he will never be able to work
    according to his Doctors and he is unable to drive so, we have to
    pay for his rides to therapy, Doctors visits etc. Our medical bills are mounting and there has been no place to
    go for needed items. We have applied for his SSD but they are in the
    hearing stage which can be another 18 months. We have monthly
    expenses for monitors to keep him safe, and the loss of his income
    has left us with no savings and behind on bills. We have filed for
    everything under the sun but we are still waiting, with no end in
    sight. Our needs are to pay his medical bills, maintain payment on
    his fall detection monitor, get him a new cane and pay for the
    numerous supplements that he has to take. If all bills get paid with
    this campaign, I'd also be exlploring hyperbaric treatment; studies
    have shown tremendous results with traumautic brain injury.We are
    optimistic with quality care and less stress that he will be able to
    maintain living safely in our home.",https://fundrazr.com/michaelmaberryshealthfund
17435,Drew’s leukemia fight,U.S. Dollar,20 000,152,87%,"Drew Aufderheide was diagnosed with a rare and incurable form of
  Chronic Myeloid Leukemia (CML) .  Only 5,000 per year in the United
  States are diagnosed with this disease and because the cancer is
  caused by a chromosomal change, there is no way to cure it - only
  medication to keep it at bay.  At the age of 33, it is extremely rare
  for someone like Drew to have this form of leukemia.  It is normally
  diagnosed in people with an average age of 67, and the life expectancy
  is approximately 15 years. There are currently a lot of unknown facts
  surrounding Drew's case because physicians and oncologists do not
  often see CML in someone so young and because of Drew's young age, his
  life expectancy is unknown. What is known, is that Drew needs to take a maintenance chemo
  drug/pill each day to manage the CML for the rest of his life, or
  until a cure is discovered.  There are only a few drugs available at
  this time to treat this disease and Drew's body has already rejected
  3.  He is on the last and 4th drug that is available at this time and
  because it is so rare the demand for the drug is low.  The medication
  he is on now comes from Switzerland, the only place it is made.  The
  doctor orders it through a lab in New Jersey, it is then
  mailed directly to Drew. This medication is not available through a pharmacy. Because of the low demand, the cost for Drew's medication is
  approximately $11,000 per/month.  Medical Insurance and grants pay a
  portion of the entire cost of the drug, so Drew is faced with finding
  funding to make up the balance.  This disease has been an incredible
  financial strain on Drew and his wife Val. With this medication comes
  side effects that he must manage.  Drew has met this challenge with
  his usual strength of determination, peace of soul, his faith in God
  and warm and loving demeanor. Drew is very grateful for the prayers and financial support people
  have shown him in the past.  Financially, the importance of any
  monetary gifts cannot be overstated.  It has allowed him to pay for
  the medication to keep him alive.  From a faith viewpoint, he cannot
  thank you all enough for your prayers.  He knows from experience that
  prayer works.  During this last year when weeks of side effects have
  kept him in bed unable to work, he felt your love and prayers.",https://fundrazr.com/exjqd
2800,Help Bre #keepmoving & maintain their independence with an Alinker walking bike!,Canadian Dollar,28 000,35,100%,"Hey friends! Okay, so... I'm Bre. I'm 28 years old. I'm a lover of the
    creative process and its many forms. I love trying new things
    because I'm always up for a good challenge. However, I'm facing a
    pretty big challenge of a different sort currently and would really
    appreciate your help. I've lived with mobility issues since the age of
    nine, because of multiple spinal issues, but mostly due to multiple
    arachnoid cysts filled with fluid at the base of my spine which are
    compressing my nerves. I've had surgery to drain it in 2001, and it
    was stable for many years but recent MRIs have shown that it's
    become filled with fluid once again. Medically, I'm figuring out
    what my options are at the moment. In October of 2015, I woke up to feeling like there was a
    piece of tape stuck to the bottom of my right foot. Since then I've
    had multiple EMGs and MRIs done and am still left with not a lot of
    answers or solutions. Due to a combination of my complicated case
    and the scar tissue from my previous surgery, multiple neurosurgeons
    have told me they're not comfortable attempting another... so I'm
    left with a situation I need to find my own solution for. To get an idea of what I'm working with here, here's a picture
    of a ""healthy"" spine vs my spine: If you feel like deciphering doctor language, here's my most
    recent MRI report: ( Right-click on the pic > Open image in new tab to see it at full resolution) In summation: YIKES. What does this mean for me currently? Chronic Pain Numbness in my right foot makes it so I can't
      feel the floor when I go to take a step, therefore, balance issues I haven't been able to walk without a cane
      since 2016 I'm not able to walk very far, even with a
      cane, so I've been essentially housebound for these last few
      years, and boy, would I love not to be! I'm reliant on my brother and sister-in-law
      for anything that requires me to leave the house. (They are the
      best and don't mind, but I'd rather not have to!) So... What would the Alinker do for me? I'd be able to leave the house by myself(!!!) I could go get the mail! Grocery stores would once again be within my reach Unlike a wheelchair, I'd be able to rebuild
      and maintain muscle tone in my legs Be able to have a conversation while walking
      again instead of using all my energy focusing on trying not to fall I could enjoy my time at events, festivals,
      family trips, etc. without feeling like I'm slowing everyone down Having a seat with me at all times would be a
      dream come true I could explore the neighborhood and all its
      cool historic sites I could take my nieces to the park I could walk the family dog I would be closer to being as cool as Selma Blair It really would give me so much freedom back,
      open up my world again, and change my life. Thank you for your consideration and support ♥",https://fundrazr.com/f1VtI8
4117,"1PL8 4 GOOD Join a new Campaign ""Brain Food 4 NextGEN Entrepreneurs""",U.S. Dollar,889 000,5,5%,"The world faces many challenges. And sometimes we feel
        helpless and hopeless in our own homes. Today, we're inviting
        you to a special campaign called 1PL84GOOD, where each day you
        can sit down and eat a sensible plant-based diet that will
        affect your health, your community, the environment and the
        future of our world. Based on the Principles of human empowerment and American
        ingenuity, WE can all start with one plate, to Be the Change we
        need. Welcome to the campaign. Try a #PlantPowered Brain Food 3 Meals a Week Share with 8 friends Version 3.21 20 May 2019 Working demonstrations of these campaigns: 1PL84Health    - Accept the # ClimateBurger2020 Challenge
    with 8 of Your friends Via http:// bit.ly/CBC2020v1 http://bit.ly/PlantPowered2020 Your contributions are most welcome as a Share through
      social media OR by claiming a Perk from the list.",https://fundrazr.com/1PL84GOOD
370,Help me get my indoor Enchroma glasses for painting!,U.S. Dollar,350,2,106%,"Hi friends! Im back to get one
      more pair of these babies! I got my first pair of enchromas for
      outdoors and ordered them in a hurry/ out of disbelief that they
      actually worked! They sure work alright and i need an indoor pair
      for painting this time. They have changed my life ! Thank you!!!
      anything helps WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/b1Tgq4
5500,Help Mat to start his life again.,U.S. Dollar,35 000,6,16%,"He is also the sole-breadwinner to a family of 7. He has 4 kids with
  the youngest is at 11 months old, his wife is a homemaker and also an
  elderly loving mum. He lives in Singapore. We as a friend care deeply about his family and we are raising money
  to give him much needed funds to support his family and the treatment
  of his condition. Your donation will be utilised for medical, specialist consultations,
  travel to specialists and living expenses for his family to tide them
  over this difficult period.",https://fundrazr.com/61RgTa
680,Baby Zillah Health Fund,U.S. Dollar,25 000,8,27%,"Hi, My name is Zillah Samia Myra Ferguson. I was born on January 22, 2019
  to my parents  Simone Green and Sammy Ferguson. I weighed 7lbs, 4.6
  ozs at birth. I look like any other healthy baby girl,  but the
  doctors say I have fluid around my brain. This isn't good because if it's not treated I could end up with brain
  damage or even die. I have been living in the NICU since birth. I
  can't go home to be with my parents because I need a MRI. The cost of
  the MRI is $2,000 at Doctors Hospital. Sadly, my family is unable to
  come up with the funds needed at this time.  I'm asking you to help
  us, so that the doctor's can fully access my condition and I can
  finally go home and start living. Please donate to my cause and share my request with your family,
  friends,  coworkers,  church groups  and even strangers.  We all need
  a little help sometime. If you are unable to donate please pray for my family to raise the
  funds needed in time, and pray that I get better without  needing
  additional medical treatment. Thanks in advance, Baby Zillah P.S. Donations can also be made to Bank of the Bahamas Kemp's Bay Branch (165) Ac # 5510068006 Simone Green",https://fundrazr.com/Babyzillah
915,Help Keep the Power Surge Boards Going,U.S. Dollar,45 000,9,5%,"When my best friend Alice (Dearest) died in 2013, I thought that
  there would be no way to keep her work at Power Surge alive. Thanks to many kind donors, and a board move , we're still going strong. Please help us keep Dearest's legacy alive - and get help for
  yourself at http://powersurge.invisionzone.com/ Thanks!  Alice would be so proud of what you're doing for her and for others.",https://fundrazr.com/blrM8
